,company,title,location,EmpBasicInfo,employerStats,JobDescriptionContainer,salary,new_overall_score
1,BNP Paribas,"Data Analyst, IG Hub APAC",Hong Kong,"Company Overview
Size
10000+ Employees
Founded
2000
Type
Company - Public
Industry
Banks & Credit Unions
Sector
Finance
Revenue
$10+ billion (USD)
Visit BNP Paribas Website","3.7
★★★★★
75 %
Recommend to a friend
88 %
Approve of CEO
1779 Ratings","In Asia Pacific, BNP Paribas is one of the best-positioned international financial institutions with an uninterrupted presence since 1860. Currently with over 18,000 employees* and a presence in 13 markets, BNP Paribas provides corporates, institutional and private investors with product and service solutions tailored to their specific needs. It offers a wide range of financial services covering corporate & institutional banking, wealth management, asset management, insurance, as well as retail banking and consumer financing through strategic partnerships.

Worldwide, BNP Paribas has a presence in 68 markets with more than 193,000 employees. It has key positions in its three main activities: Domestic Markets and International Financial Services (whose retail-banking networks and financial services are covered by Retail Banking & Services) and Corporate & Institutional Banking, which serves two client franchises: corporate clients and institutional investors. Asia Pacific is a key strategic region for BNP Paribas and it continues to develop its franchise in the region.














Show More",NA,3.7
2,TBM The Beauty Medical,Data Analyst,Hong Kong,NA,"3.9
★★★★★
75 %
Recommend to a friend
91 %
Approve of CEO
389 Ratings",Show More,NA,3.9
3,Pernod Ricard,Data Analyst,,"Company Overview
Size
10000+ Employees
Founded
1975
Type
Company - Private
Industry
Food & Beverage Manufacturing
Sector
Manufacturing
Revenue
$5 to $10 billion (USD)
Visit Pernod Ricard Website","4.1
★★★★★
82 %
Recommend to a friend
96 %
Approve of CEO
273 Ratings","Key Responsibilities:
Creating simple and maintainable dashboards, reports and presentations to communicate the findings to business users
Partner with our data science teams to make sure our work is consistent according to business needs
Monitor usage & results of our algorithms
Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems
Work with deployment team to prioritize business and information needs
Locate and define new process improvement opportunities
2021-03-18-07:00
Show More",NA,4.1
4,Hays,Data Business Analyst (ETL),Hong Kong,"Company Overview
Size
5001 to 10000 Employees
Founded
1968
Type
Company - Private
Industry
Staffing & Outsourcing
Sector
Business Services
Revenue
$1 to $2 billion (USD)
Visit Hays Website","3.7
★★★★★
71 %
Recommend to a friend
87 %
Approve of CEO
1682 Ratings","Your new role

Ensure data interrelationship between Account, Opportunity, Lead, Contact, Install, Revenue and DUNS records.
Perform regular check on integrity improvement and report the result to management
Apply data cleansing through various solutions, including ETL, and improve existing data processing and connection stability
Coordinate and define quality and stability checking exercises on various Reporting platforms
Analyze and investigate business process to provide advisory and define materials to ensure stability of daily operations, and seek for improvement
Through the above, with guidance from the Business Operations manager, one of the most important targets is to provide ""correct"" industry business reporting for AP as a whole, that is currently a challenge for AP due to DUNS application.






If you’re interested in this role, click “apply now” or for more information and a confidential discussion this role or to find out more about IT and Digital opportunities contact Carina Choi at +852-2230-7437 or Carina.Choi@hays.com.hk Follow Hays for the most up-to-date career advice and insights on the world of work: https://www.linkedin.com/company/hays
Show More",NA,3.7
5,Seamatch Asia,System Analyst / Data Scientist,Hong Kong,"Company Overview
Size
1 to 50 Employees
Type
Company - Private
Industry
Staffing & Outsourcing
Sector
Business Services
Revenue
Unknown / Non-Applicable
Visit Seamatch Asia Website","2.8
★★★★★
N/A
Recommend to a friend
N/A
Approve of CEO
0 Ratings","Our client, a well-known US based e-commerce company is looking for team members for their expanding big data teams:

Job Description:
Job Scope: Oracle DB, PL SQL, Python, Big Data, Cloud Data Warehouse

Job Requirement:
Bachelor’s Degree in Computer Science, Engineering, Information Technology or related disciplines
A minimum of 5 years’ relevant experience
Solid experience in databases, data warehousing, ETL, business intelligence, or data analytics areas
Familiar in any 2 or more of the following technical skill sets:
Oracle DB, SQL / PL SQL
R, Python, Scala, Teredata or other Big Data Analytics tools
AI, Machine Learning
Knowledge in Cloud products like AWS, Azure or Oracle Cloud
Microservices Architecture, Dockers, Container
Show More",NA,2.8
6,Page Personnel,(Senior) Data Analyst (SAS & SQL) - Banking,Hong Kong,"Company Overview
Size
Unknown
Type
Company - Public
Revenue
Unknown / Non-Applicable
Visit Page Personnel Website","4.2
★★★★★
91 %
Recommend to a friend
100 %
Approve of CEO
1 Ratings","Responsibilities:
Gather user requirements

Extract data using SQL

Provide data analysis and reports

Large scale data management

Design and generate management reports

Stakeholder management

Any ad-hoc projects

Must have work experience using SAS in bank

Top-tier bank with global recognition


Degree holder in Statistics, Computer Science or any related degree

At least 2+ years of working experience in SQL and SAS

Familiarity with Python, QlikSense, Tableau is a plus

Excellent communication skills in English, Cantonese and Mandarin is a plus

Our client is within the Top 5 largest and most well known banks in the world. Founded over 100 years ago, they have offices in over 80 countries across the world. In Hong Kong alone, they have multiple office locations, and provides a friendly and culturally diverse working culture.

They are currently looking for a Data Analyst with working experience in using SQL and SAS to be involved with internal projects. Knowledge in Python is an advantage.

Candidates must have excellent communication skills in English; Cantonese and Mandarin is a plus.

Candidates must be eligible to working in Hong Kong (dependent, QMAS, IANG okay).

Team working environment

Extensive training provided

Excellent remuneration package

15 days annual leave

Convenient working location
Show More",NA,4.2
7,APASS International,Business/ Data Analyst (Finance) (1-Year Contract),Hong Kong,"Company Overview
Size
Unknown
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit APASS International Website","5.0
★★★★★
100 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings","Our client is a contemporary and fast-growing accessory brand with proven track record, who is looking for a Business/ Data Analyst (Finance) to join their regional team. This is a great opportunity for candidates who has a great desire to develop their career in a growing brand.
Industry: Accessory

Responsibilities
To support Regional Financial Planning & Analysis team and be responsible for data extraction, analysis and reporting;
To consolidate relevant data and material for monthly/ quarterly reporting purpose;
To provide support on projects if necessary.





Show More",HK$204K - HK$300K (Glassdoor Est.),5.0
8,中国太平人寿保险(香港)有限公司,Data Analyst,Hong Kong,NA,"3.9
★★★★★
75 %
Recommend to a friend
91 %
Approve of CEO
389 Ratings","工作职责:
Identifying policy management and customer intelligence related analysis needs, responsible for data collecting, consolidating and processing
Assisting team to prepare various data analysis and management reports
Responsible for monitoring quality management related KPI achievement, coordinate with channels, checking regularly on the implementation of the management measures
Facilitating team (users) to prepare user requirements, performing data quality review, assisting users to improve data quality and solve data quality issues
Providing technical support for system enhancements
Provide team's administrative works and other assigned tasks

任职资格:
Bachelor's degree or above in Mathematics, Statistics, Finance, or related disciplines
With a minimum of 1 year’s work experience in data handling, experience in life insurance industry or financial institution are highly preferred
Proficiency in using Microsoft Office , especially in Excel
Excellent Problem solving, communication, interpersonal and organizational skills
Fluent in both Cantonese and Chinese
Show More",NA,3.9
9,Michael Page HK,(Senior) Data Analyst (SAS & SQL) - Banking,Hong Kong,"Company Overview
Size
201 to 500 Employees
Type
Company - Private
Industry
Security Services
Sector
Business Services
Revenue
Unknown / Non-Applicable
Visit Michael Page HK Website","3.6
★★★★★
82 %
Recommend to a friend
84 %
Approve of CEO
13 Ratings","Responsibilities:
Gather user requirements

Extract data using SQL

Provide data analysis and reports

Large scale data management

Design and generate management reports

Stakeholder management

Any ad-hoc projects

Must have work experience using SAS in bank

Top-tier bank with global recognition


Degree holder in Statistics, Computer Science or any related degree

At least 2+ years of working experience in SQL and SAS

Familiarity with Python, QlikSense, Tableau is a plus

Excellent communication skills in English, Cantonese and Mandarin is a plus

Our client is within the Top 5 largest and most well known banks in the world. Founded over 100 years ago, they have offices in over 80 countries across the world. In Hong Kong alone, they have multiple office locations, and provides a friendly and culturally diverse working culture.

They are currently looking for a Data Analyst with working experience in using SQL and SAS to be involved with internal projects. Knowledge in Python is an advantage.

Candidates must have excellent communication skills in English; Cantonese and Mandarin is a plus.

Candidates must be eligible to working in Hong Kong (dependent, QMAS, IANG okay).

Team working environment

Extensive training provided

Excellent remuneration package

15 days annual leave

Convenient working location

Our client is one of the largest and most recognised banks in the whole world. In Hong Kong alone, they have multiple office locations, and provides a friendly and culturally diverse working culture. They are currently looking for data analysts with experience in using both SQL and SAS, with Python knowledge a plus, to help with their internal decision making.
Show More",NA,3.6
10,Global Executive Consultants,Data Analyst / BI Specialist (HKD $45 - 55K),Hong Kong,"Company Overview
Size
1 to 50 Employees
Type
Contract
Revenue
Unknown / Non-Applicable
Visit Global Executive Consultants Website","3.0
★★★★★
N/A
Recommend to a friend
N/A
Approve of CEO
0 Ratings","Our client, a leading financial institution is looking for high-caliber person to fill the position.
Job Duties
The position is responsible for delivering application development projects and other assignments
Collaborate closely with the members of the IT teams, service providers, and business users to understand the business processes and to study the functional requirements
To design the solutions, document the respective technical specifications, and develop the applications accordingly
Responsible for the system delivery of regulatory-related projects
Perform requirement collection, design, programming, testing, and implementation with minimum supervision
Show More",HK$185K - HK$420K (Glassdoor Est.),3.0
