,overall_score,company,title,location,EmpBasicInfo,employerStats,JobDescriptionContainer,salary
0,3.9,Synechron Ltd.,Data Engineer,Hong Kong,"Company Overview
Size
10000+ Employees
Founded
2001
Type
Company - Private
Industry
IT Services
Sector
Information Technology
Revenue
$500 million to $1 billion (USD)
Visit Synechron Ltd. Website","3.9
★★★★★
79 %
Recommend to a friend
92 %
Approve of CEO
1313 Ratings","Roles & Responsibilities
Involved in preparing data. Develop, construct, test and maintain complete architectures
Building pipelines for various ETL operation
Create data tools for analytics
Collaborate with architect and application designers to acquire knowledge of the existing system solution and the expected end to end data usage pattern
Work closely with business users to assemble large, complex data sets that meet business requirements
Work with other IT teams and participates Functional Integration Test. Supports User Acceptance Test, assist business users to perform testing and result checking.
Show More",NA
1,5.0,NLS,Data Engineer – Global Investment Bank,Hong Kong,"Company Overview
Size
1 to 50 Employees
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit NLS Website","5.0
★★★★★
100 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings","Job Description
Create and update database for private equity business with Python
Help development of text data analytics using NLP or web backend using database
Self-starter, self-motivated person to lead the development
Collaborate with users and other teams to improve our system
Test and support of our system

Qualification and Skills
Strong knowledge and skill in Python or other OOP programing languages

Show More",NA
2,NA,Miscato Limited,Hardware Engineer,Kwun Tong,NA,"3.9
★★★★★
75 %
Recommend to a friend
91 %
Approve of CEO
389 Ratings","Published Date: 21 April 2021
Aromeo is looking for highly motivated and energetic Hardware Engineers to join our team at our office in Kwun Tong! (we wfh during the covid lockdown) Read on if you are interested in: wellness, consumer electronics, IoT, hardware programming.
About Aromeo Diffuser (Miscato Limited):
The leading provider of Smart Aromatherapy for Wellness and Hospitality, revolutionizing the world of wellness through smart technology. Our signature product, Aromeo Diffuser, is a smart aroma diffuser that can be controlled with a mobile app. The app also serves as a pathway to learn more about wellness and get personalized recommendations.
Show More",HK$216K - HK$456K (Glassdoor Est.)
3,NA,Vivian Health,Software Engineer,Hong Kong,"Company Overview
Size
1 to 50 Employees
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit Vivian Health Website","3.8
★★★★★
70 %
Recommend to a friend
100 %
Approve of CEO
1 Ratings","Vivian Health's mission is to empower every healthcare professional to find their perfect job opportunity, faster and easier than ever before.
THE STACK
We use React (web) / React Native (ios / android), NodeJS / Express (api server), npm / webpack / babel (packaging), Postgres / Sequelize (core data), SQS (task queues), and Algolia (indexed data). Our code is deployed on Heroku and is mostly written in javascript though we use some python. We strive only to choose the right tool for the job & welcome new ideas.
THE SKILL SET
Experience with React, NodeJS, Python, or another scripting language
An interest in working on healthcare or staffing technology
Show More",NA
4,NA,SearchAsia,Data Engineer/ Analyst #JES,,"Company Overview
Size
51 to 200 Employees
Founded
2005
Type
Company - Private
Industry
Staffing & Outsourcing
Sector
Business Services
Revenue
Unknown / Non-Applicable
Visit SearchAsia Website","3.7
★★★★★
66 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings","Our client is an award-winning eGaming Studio developing different trendy mobile casino game in UK. In their company, you are able to utilize your ultimate talent together with the great developers. They are now looking for seasoned Data Engineer/Analyst with advanced skills in setting up AWS system, Big Data tools and scripting languages to join their team. If you are now looking for opportunities in pursuing IT industry in UK, come and join them.
Relocation Package is included.
VISA is provided to candidates without BNO.
Interested parties please write in to katherine.tsang@searchasia.com.hk with your full resume (in MS-Word Format). Alternatively, please click the ""Apply Now"" button or call Katherine at (852) 2169 0878 for a confidential discussion of this job and other similar job opportunities. Thank You!
Show More",HK$118K - HK$420K (Glassdoor Est.)
5,3.5,CXC Global,Data Engineer,Hong Kong,"Company Overview
Size
51 to 200 Employees
Founded
1992
Type
Company - Private
Industry
Staffing & Outsourcing
Sector
Business Services
Revenue
Unknown / Non-Applicable
Visit CXC Global Website","3.5
★★★★★
39 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings","Position : Data Engineer
Skill :
Experience 2-5 years
Strong in SQL command
Operating System : Window Server, Linux
Programing : Shell Script
Database : MySQL, Sql-Server, Oracle, Hadoop
RDBMS/Columnar DBMS : Basic/Advance SQL Query
Network : Understanding of Network Architecture

Show More",HK$240K - HK$456K (Glassdoor Est.)
6,3.6,Michael Page,Data Engineer,Hong Kong,"Company Overview
Size
201 to 500 Employees
Type
Company - Private
Industry
Security Services
Sector
Business Services
Revenue
Unknown / Non-Applicable
Visit Michael Page Website","3.6
★★★★★
82 %
Recommend to a friend
84 %
Approve of CEO
13 Ratings","The Data Engineer will be responsible for ensuring smooth data delivery to the front office with cutting edge technology.
Client Details
Our client is a globally renowned quant trading firm, best known for their long successful track record, highly sophisticated & technology driven within HFT industry. Gather the top talents across the globe, the firm is looking to continue expansion in Hong Kong.
Description
Design and implement data pipelines from multiple sources
Maintain data quality and manage existing datasets
Ensure smooth data flow and process, reduce data loading time
Support business users on their requirements on data platforms
Profile
Bachelor's degree in Computer Science, Information Engineering or any relevant disciplines
1+ years' experience in data engineering or ETL or data transformation
Proficiency in Python and SQL
Knowledge and experience with cloud technologies, such as AWS, Azure and GCP
Experience with financial market data is preferred
Passionate in new technologies and eager to learn attitude
Good communication skills; good command of English and Mandarin
Job Offer
Cutting edge technology
Buy-side exposure
Competitive salary package
International / agile environment

Full-time,Permanent
Show More",HK$118K - HK$354K (Glassdoor Est.)
7,NA,Eastech Systems Limited,Data Engineer,Hong Kong,"Company Overview
Size
51 to 200 Employees
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit Eastech Systems Limited Website","3.4
★★★★★
47 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings","Eastech Systems Limited is a leading service provider for integrated IT solutions. We are looking for candidates to join and provide excellent services to the customers:
Website www.eastech.com.hk
Responsibilities

Implement cloud and on-premises data warehouse and business intelligence and analytics solution
Handle requirement study, systems analysis, systems development and testing, implementation of Data Warehouse and Business Intelligence platform
Formulate program specifications and basic prototypes
Transform specifications into high functioning code in the appropriate language
Provide general technical support and training to users
Monitor project process and technical matters, and ensure the successful project deliverables on time
Collaborate with teammates to meet working schedule, requirements and resolve all changes/ issues/ risk that may arise
Skills & Requirements

Higher Diploma or above in Computer & Information Sciences, Software Engineering, Mathematics, Statistics or relevant discipline
Minimum 1 year of experience in IT related projects and business requirement analysis
Knowledge and experiences on either one or more following skill set is an advantage:
SQL, PL/SQL, Python, Scala, C#, Java, Oracle, SSIS, SSRS, SSAS, Qlik, Tableau, Power BI
Strong communication skill in both English and written in English and Chinese
Immediate availability is highly preferred. Fresh Graduate who is interested is welcome.

Interested parties, please clicking ""APPLY NOW"" to submit your applications
Personal data collected will be used for recruitment purpose only.
All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security.

Full-time,Permanent
Show More",NA
8,5.0,Match Talent,Data Engineer,Hong Kong,"Company Overview
Size
Unknown
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit Match Talent Website","5.0
★★★★★
100 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings","This is an exciting opportunity for experienced data professionals to join a growing digital transformation agency. This is a Data Engineer position, this technical position would provide great exposure across various industries, including start-ups to MNCs.
Responsibilities:
Developing the technical architecture to enable large scale Big Data Analytics projects
Providing technical evaluations and advice with Data Science
Create suitable data architecture suitable for large datasets, analysis, storage, transformation, cleaning, and reclamation
Create data security and data privacy standards and methodologies best practices
Recommend and advise from a technical perspective, on big data architecture/ containers on the overall architecture
Show More",HK$216K - HK$420K (Glassdoor Est.)
9,3.6,lalamove,Data Engineer,Hong Kong,"Company Overview
Size
501 to 1000 Employees
Founded
2013
Type
Company - Private
Industry
Logistics & Supply Chain
Sector
Transportation & Logistics
Revenue
Unknown / Non-Applicable
Visit lalamove Website","3.6
★★★★★
58 %
Recommend to a friend
78 %
Approve of CEO
53 Ratings","Lalamove is disrupting the logistics industry by connecting customers and drivers directly through our technology. We offer customers a lightning fast and convenient way to book delivery and moving services whether they are at their home, at work or on the go. People talk about O2O, we live it!

Currently, Lalamove is a leading global on-demand delivery platform with millions of delivery partners serving millions of orders everyday.
With 1600+ employees spread across SEA, INDIA and LATAM, our 6-years old company has reached unicorn status in 2018, is well funded by prominent VCs and has kept growing at tremendous speed since.

Our vision is to bring communities closer and make city life easier by allowing fast and convenient circulation of goods. We realise this vision with a ‘glocal’ approach, building a robust operations team to adapt our product to local networks of businesses and delivery contractors. At the same time, we have ambition to build an international brand by establishing an even more global presence.

Show More",NA
