,overall_score,company,title,location,EmpBasicInfo,employerStats,JobDescriptionContainer,salary
0,3.4,Cathay Pacific Airways Ltd,Associate Data Scientist,Hong Kong,"Company Overview
Size
10000+ Employees
Founded
1946
Type
Company - Public
Industry
Airlines
Sector
Travel & Tourism
Revenue
$10+ billion (USD)
Visit Cathay Pacific Airways Ltd Website","3.4
★★★★★
46 %
Recommend to a friend
24 %
Approve of CEO
187 Ratings","Cathay Pacific Airways is an international airline registered and based in Hong Kong, flying to over 190 destinations around the world.

We are proud of our home Hong Kong, where the company was founded in 1946. Our corporate headquarters are located at Hong Kong International Airport. We employ over 21,000 people worldwide.

We are also a founding member of the oneworld global alliance whose combined network serves over 750 destinations worldwide.

Department: Digital

Reports to: Analytics Manager

This position will be responsible to generate actionable analytics and insights and extend it as an integral component of major business change and investment programmes, including flight operations, services deliveries, customer & loyalty management as well as sales management.

He/she will use key tools of analytics and data science to come up with solution and algorithm with measurable impact and appropriate verification plans. He/she will also need to evaluate model performance & iterate to optimise and to evaluate new capabilities in advancing the analytical power of the company.


Provide advanced analytics support primarily on operations management and optimisation, other areas include Customer life cycle management, campaign optimisation and personalisation, as well as demand forecast

Prototyping advance analytics and machine learning solutions for business partners

Work with key stakeholders and partners to implement solution

Make intelligent approximations to the model if required to make it scalable and operatable

Partner with IT in bringing machine learning models in to day-to-day use

Drive knowledge sharing and improvement in analytics skills across Digital Streams and relevant business units

Recommend and implement the development path of capabilities and skillsets to foster a culture of applying data & insight driven culture in decision making


Bachelor/Master degree (or equivalent education qualifications) in Mathematics, Computer Science, Econometrics, Operation Research, Psychology or related disciplines

Minimal 3 years’ work experience in data science, proven track record of leveraging large amount of data to drive significant business impact

Good analytical skills, experience in recommending appropriate algorithm and methodology for problem-solving and decision making, leveraging both logic and creativity

Working knowledge in statistical analysis tools and machine learning languages (Ideally Python, Spark) other big data tools (e.g. R, Hive, Hadoop), as well as query languages (e.g. SQL)

Proficiency in data visualisation tools, e,g, Qlikview & QikSense

Proficiency in analytics & query tools e.g. Alteryx

Experience in project management and technical implementation

Good understanding in database concepts & data modelling, business intelligence disciplines & data management principles

Good understanding in business processes such as customer management, process improvement & commercial tradeoffs.

Sound communication & influence skills to work with business partners of different levels and background. Be able to articulate ideas verbally and in written forms

Solid understanding of latest analytics technology and concepts, trends of platform & tools

Strong in managing time and multiple projects with a continuous improvement mindset

10 June 2021

Cathay Pacific is an Equal Opportunities Employer. Personal data provided by job applicants will be used strictly in accordance with our personal data policy and for recruitment purposes only. Candidates not notified within eight weeks may consider their application unsuccessful. All related information will be kept in our file for up to 24 months. A copy of our Personal Information Collection Statement will be provided upon request by contacting our Data Protection Officer.

Full-time,Permanent
Show More",NA
1,3.9,Clustertech Limited,Data Scientist / Computational Scientist,Hong Kong,"Company Overview
Size
51 to 200 Employees
Founded
2000
Type
Company - Private
Industry
Computer Hardware & Software
Sector
Information Technology
Revenue
Unknown / Non-Applicable
Visit Clustertech Limited Website","3.9
★★★★★
65 %
Recommend to a friend
87 %
Approve of CEO
9 Ratings","ClusterTech Limited is committed to providing value to clients through advanced computing technologies including Cloud, High Performance Computing, AI & Analytics and Big Data. We provide a comprehensive range of services and products to solve problems in massive data processing, large-scale computing, in-depth analysis, artificial intelligence, and uninterrupted service. Our business areas include financial engineering (investment analysis, risk management, derivatives pricing, etc.), business intelligence (sales forecasting, customer management, inventory management, etc.), environmental science (weather forecast, heavy rain and turbulence forecasting, analysis and prediction of pollution, etc.), smart city (information gathering, information analysis, optimisation and management), and internet applications (massive image processing, video storage and delivery). We also provide public cloud, private cloud and hybrid cloud solutions for businesses of all sizes.

Responsibilities:
Solve practical problems by using computational skills and cross-category approaches of data mining/statistics/artificial intelligence/mathematical optimization;
Utilize user characteristics and behavior data, financial data to do data mining and model building analysis;
Participate in client research to collect users’ need, prepare reports of clients’ behavior analysis;
Be required to travel to the mainland on a need basis;


Major in Computer Science, Engineering, Statistics or related disciplines;
1-2 years hands on relevant working experience;
Good at analytical thinking with solid mathematics knowledge;
Good master of foundation theories and approaches of data mining or statistics field;
Proficiency in Java, Python, R or at least one programming language;
Knowledge of data structure and algorithm;
Experience in processing mass data, model building, and product improvement by mathematical approach is preferable;
Knowledge of MYSQL,ORACLE database operation with excellent tuning skills is an advantage;
Knowledge of machine learning or statistics field with experience in data mining projects is preferred;
Team spirit, proactive in idea sharing with good communication skills (Chinese and English);
Preference will be given to candidates with high integrity, team spirit, strong sense of responsibility, and passion for the application of modern computing technology in China;
We offer competitive remuneration package including 5-day work and 15-day annual leave to the right candidate with excellent career advancement.

All applications will be treated in strict confidence. Personal information collected will be used solely for the purpose of recruitment. If you are not invited for an interview within 4 weeks, your application will be filed for a further 2 years and be considered for any other appropriate positions within the company or related companies.

For more information about ClusterTech, please visit our web site at http://www.clustertech.com .
All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security.

Full-time,Permanent
Show More",HK$300K - HK$365K (Glassdoor Est.)
2,NA,Life Code Limited,AI Research Scientist,Kowloon Bay,"Company Overview
Size
Unknown
Type
Company - Private
Revenue
Unknown / Non-Applicable",NA,"Job Highlights:
Artificial Intelligence (AI) Research Engineer
Machine learning ML, Research, Small Molecules Development
Artificial Intelligence, AI, Deep learning
RESPONSIBILITIES
To create architectural solutions to solve a difficult engineering problem in machine learning;
To coordinate and liaise with different parties of the project on the planning, development, and implementation of various project activities;
QUALIFICATIONS

Show More",NA
3,3.9,IBM,Data Scientist,Hong Kong,"Company Overview
Size
10000+ Employees
Founded
1911
Type
Company - Public
Industry
IT Services
Sector
Information Technology
Revenue
$10+ billion (USD)
Visit IBM Website","3.9
★★★★★
78 %
Recommend to a friend
86 %
Approve of CEO
3493 Ratings","Introduction
As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities

IT Specialists in this job role will have expertise in making available, integrating, and optimizing structured and/or unstructured data using database products, technologies, and methods. Typical examples of the deliverables are database designs, information models (logical, physical, dimensional, etc.), data migration plans, and data warehouses. IT Specialists who primarily apply their technical skills in an internal or external customer billable services and implementation environment. The employee focuses on individual/team objectives and development of professional effectiveness.



Professional knowledge related to incumbent's position, team, and department. Requires ability to absorb professional knowledge quickly and develop skills.


Draw upon professional concepts to collaborate with others to carry out assigned duties. Negotiation is required.


Recognize job-related problems. analyze causes using existing techniques or tools, prepare and recommend solution alternatives. Challenge the validity of given procedures and processes with the intent to enhance and improve.


Works on professional projects;work is often reviewed for developmental purposes.
Understand the standard mission of the professional group and vision in own area of competence. May directly influence people in own project. Position may require coordination of activities of less experienced or less knowledgeable team members.


Accountable for individual or team results. May contribute by supporting activities that are subject to business measurements, impact customer
satisfaction, or impact immediate costs or expenses.

Required Technical and Professional Expertise

NA

Preferred Technical and Professional Expertise
NA
About Business UnitIBM Services is a team of business, strategy and technology consultants that design, build, and run foundational systems and services that is the backbone of the world's economy. IBM Services partners with the world's leading companies in over 170 countries to build smarter business by reimagining and reinventing through technology, with its outcome-focused methodologies, industry-leading portfolio and world class research and operations expertise leading to results-driven innovation and enduring excellence.

Your Life @ IBMWhat matters to you when you’re looking for your next career challenge?

Maybe you want to get involved in work that really changes the world. What about somewhere with incredible and diverse career and development opportunities – where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust – where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBMIBM’s greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries.

Location StatementFor additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBMIBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.
Show More",HK$403K - HK$540K (Glassdoor Est.)
4,NA,SearchAsia,Data Engineer/ Analyst #JES,Hong Kong,"Company Overview
Size
51 to 200 Employees
Founded
2005
Type
Company - Private
Industry
Staffing & Outsourcing
Sector
Business Services
Revenue
Unknown / Non-Applicable
Visit SearchAsia Website","3.7
★★★★★
66 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings","Our client is an award-winning eGaming Studio developing different trendy mobile casino game in UK. In their company, you are able to utilize your ultimate talent together with the great developers. They are now looking for seasoned Data Engineer/Analyst with advanced skills in setting up AWS system, Big Data tools and scripting languages to join their team. If you are now looking for opportunities in pursuing IT industry in UK, come and join them.
Relocation Package is included.
VISA is provided to candidates without BNO.
Interested parties please write in to katherine.tsang@searchasia.com.hk with your full resume (in MS-Word Format). Alternatively, please click the ""Apply Now"" button or call Katherine at (852) 2169 0878 for a confidential discussion of this job and other similar job opportunities. Thank You!
Show More",HK$118K - HK$420K (Glassdoor Est.)
5,4.1,Visa,Data Scientist,Hong Kong,"Company Overview
Size
10000+ Employees
Founded
1958
Type
Company - Public
Industry
IT Services
Sector
Information Technology
Revenue
$10+ billion (USD)
Visit Visa Website","4.0
★★★★★
80 %
Recommend to a friend
92 %
Approve of CEO
522 Ratings","Company Description

As the world's leader in digital payments technology, Visa's mission is to connect the world through the most creative, reliable and secure payment network - enabling individuals, businesses, and economies to thrive. Our advanced global processing network, VisaNet, provides secure and reliable payments around the world, and is capable of handling more than 65,000 transaction messages a second. The company's dedication to innovation drives the rapid growth of connected commerce on any device, and fuels the dream of a cashless future for everyone, everywhere. As the world moves from analog to digital, Visa is applying our brand, products, people, network and scale to reshape the future of commerce.
At Visa, your individuality fits right in. Working here gives you an opportunity to impact the world, invest in your career growth, and be part of an inclusive and diverse workplace. We are a global team of disruptors, trailblazers, innovators and risk-takers who are helping drive economic growth in even the most remote parts of the world, creatively moving the industry forward, and doing meaningful work that brings financial literacy and digital commerce to millions of unbanked and underserved consumers.





Show More",NA
6,4.4,Lululemon,Data Scientist,Hong Kong,"Company Overview
Size
10000+ Employees
Founded
1998
Type
Company - Public
Industry
Department, Clothing, & Shoe Stores
Sector
Retail
Revenue
$2 to $5 billion (USD)
Visit Lululemon Website","4.4
★★★★★
89 %
Recommend to a friend
95 %
Approve of CEO
845 Ratings","Who we are
lululemon is a yoga-inspired technical apparel company up to big things. The practice and philosophy of yoga informs our overall purpose to elevate the world by realizing the full potential within every one of us. We are proud to be a growing global company with locations all around the world, from Vancouver to Shanghai, and places in between. We owe our success to our innovative product, our emphasis on our stores, our commitment to our people, and the incredible connections we get to make in every community we are in.

A day in the life:
As a Data Sceintist you are a leader in creating a data-driven culture, providing support and actionable insights to help shape and improve the guest experience, engagement across our business. Bring the power of analytical insights, and help drive how we continue to evolve into a digitally-led organization across Asia and Oceania portfolio



#LI-APAC #LI-JC1
Show More",HK$240K - HK$540K (Glassdoor Est.)
7,5.0,Pinpoint Asia,Data Scientist,Hong Kong,"Company Overview
Size
1 to 50 Employees
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit Pinpoint Asia Website","5.0
★★★★★
100 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings","Our client is a major Consulting Firm in Hong Kong, they have strong expansion strategies with Digital Transformation in their markets. They are currently looking for Data Scientists to deliver large scale Data Projects for their clients.
Requirements:
– Develop custom data models and algorithms to apply to data sets.
– Aim to enhance the performance/precision of the existing models
– Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting, and other business outcomes.
– Conduct research towards applying existing text understanding technologies in clustering and matching
Responsibilities:
– Around 5 years of experience manipulating data sets and building statistical models
– Experience using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data sets
– Programming Language, such as Java, JavaScript, C++ is a big plus
– Experience with Big Data Technologies is a big plus
– Excellent communication skills in English and Cantonese
– Bachelor degree from a reputable University


Show More",NA
8,4.1,Arup,Data Scientist,Hong Kong,"Company Overview
Size
10000+ Employees
Founded
1946
Type
Company - Private
Industry
Architectural & Engineering Services
Sector
Business Services
Revenue
$100 to $500 million (USD)
Visit Arup Website","4.1
★★★★★
87 %
Recommend to a friend
96 %
Approve of CEO
241 Ratings","Arup is the creative force at the heart of many of the world’s most prominent projects in the built environment and across industry. Working in more than 140 countries, the firm’s designers, engineers, architects, planners, consultants and technical specialists work with our clients on innovative projects of the highest quality and impact. Our East Asia offices employ approximately 3,000 staff and are engaged in prestigious multi-disciplinary projects covering buildings, infrastructure, advisory services, planning and technical consulting areas. We embrace equality, diversity and inclusion in all aspects including individual differences and open-mindedness. We are committed to applying our expertise, diversity of thinking and independence in the quest for a safe, sustainable and resilient future – for all. This is how we shape a better world. Currently we are looking for a capable and independent individual for the following position as part of the multi-disciplinary team.

Responsibilities:
Create, develop and maintain architecture of data and business intelligence system






Show More",NA
9,NA,Delvify,Data Scientist,Hong Kong,"Company Overview
Size
Unknown
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit Delvify Website",NA,"Overview
Delvify helps global brands turn consideration into conversion with intelligent insight-driven Programmatic AI and increase revenues with visual AI solutions for ECommerce. We are now looking for a Data Scientist to join our Development team to work on our data and insights platform.
What you will be working on
Assist Team to develop and maintain NLP, computer vision and speech recognition models
Leverage big data analytic techniques to build predictive models from voluminous data collected from customer touch points
Perform statistical analyses and provide insightful comments for business team
Lead fellow analysts to complete modelling and analytic projects





Show More",NA
